,x0,x1,x2,x3,x4,x5,x6,x7,y_pred,y_conf,y_test
0,1.062435906,3.078440368,2.133665673,-3.98599366,1.759077361,0.177220317,-2.83138957,-1.201294523,1,0.98,1
1,1.087625631,1.303269804,2.31281478,-3.918804309,0.427798554,2.246750201,-0.171974763,-0.906379573,1,0.96,1
2,2.641113476,2.820177348,-0.407832133,-4.137162195,4.309045772,-1.513255084,-3.826262308,-2.792337004,1,0.98,1
3,2.918660818,2.386203841,1.976027876,-1.358566022,-0.179388161,2.034041182,0.702560281,2.687643098,0,0.89,0
4,-3.232933549,1.772412816,3.974470771,0.637550331,1.519816428,-2.828829125,-1.494277805,-2.901591245,1,1,1
5,1.390870479,1.417276213,-3.274631095,-1.98820127,-0.895810697,3.262703784,3.063264837,-3.04045224,2,1,2
6,-0.352310635,2.513411301,2.728616545,-2.160057861,3.056417023,-1.913983872,-2.42933456,-3.134066345,1,0.96,1
7,0.565996587,2.214137433,1.846879645,-2.181208453,3.916229514,-1.872345037,-1.576784926,-4.021047084,1,0.98,1
8,-3.845148343,1.712447664,2.754825562,-3.351805611,-2.364618724,0.427832189,-4.699423126,0.131754102,0,0.91,0
9,-2.031467431,2.443867683,3.108390175,-2.011856705,-2.681977165,0.812697097,-3.694925668,2.897101773,0,0.99,0
10,-3.595996893,1.503319083,3.244798727,0.473889981,-0.57530221,-2.02949732,-2.796607437,-0.242007497,1,0.78,1
11,-1.241205808,5.035516931,-2.614408518,0.016122301,-2.951432441,0.998635405,-0.744067508,-0.489103138,2,0.9,2
12,0.015696657,3.261932834,-0.187755993,-1.349949461,-1.969572051,1.772280476,-0.455403293,0.625584047,2,0.92,2
13,-1.616367674,2.527681453,3.038641631,-1.476119661,1.432241034,-1.796136445,-2.94982276,-1.777761919,1,0.99,1
14,1.995578461,3.319479561,1.784743351,-3.025078701,0.340468723,0.541790628,-3.460919467,2.571486398,0,0.85,0
15,6.143391095,2.004754661,-0.70050056,-3.938764395,0.645740486,3.798121734,0.754696139,2.768284142,0,0.96,0
16,-1.469366258,2.626035976,3.1821861,-1.356184322,1.132882059,-1.179273073,-1.926734324,-1.902705259,1,1,1
17,0.378441674,3.397849149,3.027561218,-3.522664403,2.106683826,-0.349957027,-2.516746971,-2.066213218,1,0.98,1
18,3.608484828,1.372971053,-0.265599678,-4.792265921,1.715259978,1.882140705,-1.588819149,-0.076115497,1,0.84,1
19,-0.13728928,1.728638069,1.242946112,-1.840730425,1.326492276,-0.841962428,-2.243420256,-1.216050387,1,0.97,1
20,3.201220608,0.773312376,-1.078731348,-2.652652509,3.678812116,-0.827569239,-1.704005991,-1.618622712,1,0.96,2
21,-1.200812079,1.09613443,2.353187471,-1.47831812,0.261941337,0.049579697,-0.797279792,-1.39099533,1,1,1
